experiment1, Stat, Allstate, MultiTree, 2, 76303745.603000
experiment1, Stat, Allstate, MultiTree, 2, 64740082.480000
experiment1, Stat, Allstate, MultiTree, 2, 82825329.643000
experiment1, Stat, Allstate, MultiTree, 4, 59307341.748000
experiment1, Stat, Allstate, MultiTree, 4, 56840781.729000
experiment1, Stat, Allstate, MultiTree, 4, 57410378.074000
experiment1, Stat, Allstate, MultiTree, 8, 42780114.312000
experiment1, Stat, Allstate, MultiTree, 8, 42734211.609000
experiment1, Stat, Allstate, MultiTree, 8, 43375376.614000
experiment1, Stat, Allstate, MultiTree, 16, 32956931.572000
experiment1, Stat, Allstate, MultiTree, 16, 31736898.263000
experiment1, Stat, Allstate, MultiTree, 16, 34025623.631000
experiment1, Stat, Allstate, MultiTree, 32, 32448257.804000
experiment1, Stat, Allstate, MultiTree, 32, 34779164.092000
experiment1, Stat, Allstate, MultiTree, 32, 33835403.181000
